number,date,height_1,height_2,height_3,width_1,width_2,width_3,temp,humidity,layer_count,slicer_layer_height,slicer_layer_width,slicer_nozzle_speed,slicer_extrusion_multiplier,nozzle_diameter
1,05.05.2025,"2,06","1,8","1,9","5,56","5,45","5,58","19,5",56,1,"0,8","1,5",3,1,2
2,05.05.2025,"2,23","1,95","2,09","5,54","5,54","5,24","19,5",56,1,"0,8","1,5",5,1,2
3,05.05.2025,"1,87","2,06","1,65","3,85","4,18","4,13","19,5",56,1,"0,8","1,5",10,1,2
4,05.05.2025,"1,93","1,89","1,85","3,74","3,32","4,35","19,5",56,1,"0,8","1,5",15,1,2
5,05.05.2025,"1,9","1,88","1,95","4,25","4,43","4,25","19,5",56,1,"0,8","1,5",20,1,2
6,05.05.2025,"1,8","1,97","1,91","4,27","4,25","4,02","19,5",56,1,"0,8","1,5",22,1,2
7,05.05.2025,"1,72","1,81","1,82","3,87","3,88","3,76","19,5",56,1,"0,8","1,5",25,1,2
8,05.05.2025,"1,83","1,76","1,62","3,65","3,78","3,67","19,5",56,1,"0,8","1,5",30,1,2
9,05.05.2025,"1,8","1,82","1,93","5,12","4,44","4,53","19,5",56,1,"0,8","1,5",3,"0,7",2
10,05.05.2025,"1,85","1,75","1,75","4,75","4,77","5,21","19,5",56,1,"0,8","1,5",5,"0,7",2
11,05.05.2025,"1,78","1,81","1,68","3,07","3,27","3,06","19,5",56,1,"0,8","1,5",10,"0,7",2
12,05.05.2025,"1,6","1,72","1,84","2,95","2,94","3,17","19,5",56,1,"0,8","1,5",15,"0,7",2
13,05.05.2025,"1,96","1,87","1,88","2,79","3,05","3,12","19,5",56,1,"0,8","1,5",20,"0,7",2
14,05.05.2025,"2,07","1,78","1,7",3,"3,15","3,05","19,5",56,1,"0,8","1,5",22,"0,7",2
15,05.05.2025,"1,64","1,82","1,81","2,98","3,26","3,7","19,5",56,1,"0,8","1,5",25,"0,7",2
16,05.05.2025,"1,82","1,79","1,63","3,23","4,12","3,55","19,5",56,1,"0,8","1,5",30,"0,7",2
17,05.05.2025,"2,27","2,19","2,36","7,68","6,93","6,68","19,5",56,1,"0,8","1,5",3,"1,3",2
18,05.05.2025,"2,42","2,57","2,64","6,83","6,86",7,"19,5",56,1,"0,8","1,5",5,"1,3",2
19,05.05.2025,"2,11","1,97","2,11","4,66","4,86","5,05","19,5",56,1,"0,8","1,5",10,"1,3",2
20,05.05.2025,"1,86","1,87","1,97","4,34","4,61","5,06","19,5",56,1,"0,8","1,5",15,"1,3",2
21,05.05.2025,"1,88","1,96","2,11","4,87","5,48","5,36","19,5",56,1,"0,8","1,5",20,"1,3",2
22,05.05.2025,"1,96","2,18","2,2","5,89","5,92","5,94","19,5",56,1,"0,8","1,5",22,"1,3",2
23,05.05.2025,"1,82","2,08","2,06","5,4","5,44","5,7","19,5",56,1,"0,8","1,5",25,"1,3",2
24,05.05.2025,"1,55","1,82","1,64","5,08","5,38","5,47","19,5",56,1,"0,8","1,5",30,"1,3",2
25,05.05.2025,"2,73","2,93","2,65","8,04","7,35","6,88","19,3",55,2,"0,8","1,5",3,1,2
26,05.05.2025,"3,07","3,02","3,02","7,32","7,46","6,77","19,3",55,2,"0,8","1,5",5,1,2
27,05.05.2025,"2,78",3,"2,96","7,1","6,77","7,05","19,3",55,2,"0,8","1,5",10,1,2
28,05.05.2025,"2,89","2,88","2,75","6,27","6,45","6,75","19,3",55,2,"0,8","1,5",15,1,2
29,05.05.2025,"2,66","2,72","2,73","6,11","6,15","6,38","19,3",55,2,"0,8","1,5",20,1,2
30,05.05.2025,"2,61","2,71","2,69","6,03","6,41","6,37","19,3",55,2,"0,8","1,5",22,1,2
31,05.05.2025,"2,78","2,61","2,66","6,31","6,31","6,73","19,3",55,2,"0,8","1,5",25,1,2
32,05.05.2025,"2,62","2,66","2,76","5,75",6,"6,57","19,3",55,2,"0,8","1,5",30,1,2
33,05.05.2025,"2,67","2,73","2,85","6,2","6,24","5,55","19,5",55,2,"0,8","1,5",3,"0,7",2
34,05.05.2025,"2,89","2,94","2,79","5,37","5,93","5,85","19,5",55,2,"0,8","1,5",5,"0,7",2
35,05.05.2025,"2,87","2,72","2,74","5,43","5,35","5,11","19,5",55,2,"0,8","1,5",10,"0,7",2
36,05.05.2025,"2,59","2,73","2,63","5,22","4,47","4,96","19,5",55,2,"0,8","1,5",15,"0,7",2
37,05.05.2025,"2,52","2,56","2,51","4,79","5,51","5,41","19,5",55,2,"0,8","1,5",20,"0,7",2
38,05.05.2025,"2,58","2,52","2,63","5,3","5,32","5,31","19,5",55,2,"0,8","1,5",22,"0,7",2
39,05.05.2025,"2,51","2,47","2,64","4,34","5,34","5,29","19,5",55,2,"0,8","1,5",25,"0,7",2
40,05.05.2025,"2,88","2,6","2,53","4,08","4,69","4,73","19,5",55,2,"0,8","1,5",30,"0,7",2
41,05.05.2025,"2,26","2,53","2,36","3,56","3,95","3,34","19,5",55,2,"0,8","1,5",3,"0,4",2
42,05.05.2025,"2,55","2,5","2,48","3,52","3,53","3,24","19,5",55,2,"0,8","1,5",5,"0,4",2
43,05.05.2025,"2,53","2,51","2,55","4,1","3,46","3,47","19,5",55,2,"0,8","1,5",10,"0,4",2
44,05.05.2025,"2,52","2,56","2,51","3,85","3,6","3,59","19,5",55,2,"0,8","1,5",15,"0,4",2
45,05.05.2025,"2,53","2,65","2,54","3,65",3,"3,45","19,5",55,2,"0,8","1,5",20,"0,4",2
46,05.05.2025,"2,66","2,62","2,58","3,45","3,92","3,62","19,5",55,2,"0,8","1,5",22,"0,4",2
47,05.05.2025,"2,56","2,41","2,15","3,33","2,87","3,66","19,5",55,2,"0,8","1,5",25,"0,4",2
48,05.05.2025,"2,49","2,33","2,2","3,67","2,82","3,98","19,5",55,2,"0,8","1,5",30,"0,4",2
49,05.05.2025,"3,45","3,29","3,27","9,08","8,63","9,1","19,5",56,3,"0,8","1,5",3,1,2
50,05.05.2025,"3,16","3,53","3,4","8,66","8,38","8,55","19,5",56,3,"0,8","1,5",5,1,2
51,05.05.2025,"3,45","3,64","3,43","7,94","8,19","8,92","19,5",56,3,"0,8","1,5",10,1,2
52,05.05.2025,"3,23","3,25","3,54","7,41","7,85","8,41","19,5",56,3,"0,8","1,5",15,1,2
53,05.05.2025,"3,51","3,5","3,49","7,49","7,67","8,38","19,5",56,3,"0,8","1,5",20,1,2
54,05.05.2025,"3,46","3,51","3,31","7,2","8,38","7,72","19,5",56,3,"0,8","1,5",22,1,2
55,05.05.2025,"3,3","3,38","3,68","7,35","7,69","7,78","19,5",56,3,"0,8","1,5",25,1,2
56,05.05.2025,"3,45","3,58","3,55","6,58","7,03","6,89","19,5",56,3,"0,8","1,5",30,1,2
57,05.05.2025,"3,36","3,11","2,98","6,36","6,55","6,71","19,5",56,3,"0,8","1,5",3,"0,7",2
58,05.05.2025,"3,47","3,18","3,19","6,35","6,39","7,07","19,5",56,3,"0,8","1,5",5,"0,7",2
59,05.05.2025,"3,24","3,33","3,34","5,73","6,04","6,55","19,5",56,3,"0,8","1,5",10,"0,7",2
60,05.05.2025,"3,27","3,41","3,2","5,3","5,87","6,16","19,5",56,3,"0,8","1,5",15,"0,7",2
61,05.05.2025,"3,45","3,33","3,26","4,88","5,76",6,"19,5",56,3,"0,8","1,5",20,"0,7",2
62,05.05.2025,"3,16","3,22","3,09","5,55","5,55","6,14","19,5",56,3,"0,8","1,5",22,"0,7",2
63,05.05.2025,"3,31","3,91","3,19","5,56","6,3","6,28","19,5",56,3,"0,8","1,5",25,"0,7",2
64,05.05.2025,"3,25","3,09","3,24","4,56","5,91","6,05","19,5",56,3,"0,8","1,5",30,"0,7",2
65,05.05.2025,"3,03","3,27","2,55","4,45","4,51","4,52","19,5",55,3,"0,8","1,5",3,"0,4",2
66,05.05.2025,"3,44","3,31","2,98","4,44","3,81","3,83","19,5",55,3,"0,8","1,5",5,"0,4",2
67,05.05.2025,"3,39","3,33","3,14","4,03","3,72","3,85","19,5",55,3,"0,8","1,5",10,"0,4",2
68,05.05.2025,"3,42","3,28","3,34","3,91","3,74","3,74","19,5",55,3,"0,8","1,5",15,"0,4",2
69,05.05.2025,"3,39","3,38","3,38","3,77","3,74","3,84","19,5",55,3,"0,8","1,5",20,"0,4",2
70,05.05.2025,"3,52","3,46","3,26","4,01","3,73","3,71","19,5",55,3,"0,8","1,5",22,"0,4",2
71,05.05.2025,"3,61","3,66","3,55","2,62","2,95","3,03","19,5",55,3,"0,8","1,5",25,"0,4",2
72,05.05.2025,"3,54","3,55","3,54","2,37","3,06","3,09","19,5",55,3,"0,8","1,5",30,"0,4",2
73,08.05.2025,"2,53","2,36","2,85","6,02","5,71","5,93","19,7",37,1,1,"1,5",3,1,2
74,08.05.2025,"2,27","3,18","2,88","6,09","6,11","5,53","19,7",37,1,1,"1,5",5,1,2
75,08.05.2025,"3,18","3,14","2,99","3,9","3,99","4,14","19,7",37,1,1,"1,5",10,1,2
76,08.05.2025,"1,7","1,78","1,98","4,21","4,14","4,13","19,7",37,1,1,"1,5",15,1,2
77,08.05.2025,"1,91","2,02","4,23","4,27","4,22","4,21","19,7",37,1,1,"1,5",20,1,2
78,08.05.2025,"1,97","1,98","1,8","4,54","4,83","4,22","19,7",37,1,1,"1,5",22,1,2
79,08.05.2025,"1,92","1,86","1,88","4,48","4,56","4,59","19,7",37,1,1,"1,5",25,1,2
80,08.05.2025,"1,89","1,89","1,76","4,79","4,54","3,93","19,7",37,1,1,"1,5",30,1,2
81,08.05.2025,"2,06","1,97","1,86","5,08","5,56","5,56","19,7",37,1,1,"1,5",3,"0,7",2
82,08.05.2025,"1,92","1,89","1,98","4,79","4,65","5,45","19,7",37,1,1,"1,5",5,"0,7",2
83,08.05.2025,"1,85","1,83","1,86","3,56","3,64","3,29","19,7",37,1,1,"1,5",10,"0,7",2
84,08.05.2025,"1,64","1,76","1,77","3,05","2,51","2,47","19,7",37,1,1,"1,5",15,"0,7",2
85,08.05.2025,"1,67","1,67","1,8","2,37","2,7","2,41","19,7",37,1,1,"1,5",20,"0,7",2
86,08.05.2025,"1,67","1,86","1,83","2,71","2,69","2,79","19,7",37,1,1,"1,5",22,"0,7",2
87,08.05.2025,"1,6","1,79","1,81","3,47","3,65","3,3","19,7",37,1,1,"1,5",25,"0,7",2
88,08.05.2025,"1,69","1,9","1,8","3,35","3,3","3,43","19,7",37,1,1,"1,5",30,"0,7",2
89,08.05.2025,"1,81","1,84","1,85","3,9","3,82","3,81","19,7",37,1,1,"1,5",3,"0,4",2
90,08.05.2025,"2,12","2,07","1,99","3,57","3,55","3,6","19,7",37,1,1,"1,5",5,"0,4",2
91,08.05.2025,"1,84","1,86","1,87","2,78","2,79","2,88","19,7",37,1,1,"1,5",10,"0,4",2
92,08.05.2025,"1,87","1,86","1,76","2,25","2,33","2,14","19,7",37,1,1,"1,5",15,"0,4",2
93,08.05.2025,"1,71","1,77","1,79","2,18","2,2","2,08","19,7",37,1,1,"1,5",20,"0,4",2
94,08.05.2025,"1,9","1,89","1,84","1,79","2,15","1,79","19,7",37,1,1,"1,5",22,"0,4",2
95,08.05.2025,"1,83","1,81","1,77","2,38","2,35","2,47","19,7",37,1,1,"1,5",25,"0,4",2
96,08.05.2025,"1,53","1,4","1,47","2,06","2,17","2,22","19,7",37,1,1,"1,5",30,"0,4",2
97,08.05.2025,"2,5","2,34","2,68","4,4",6,"6,47","19,7",37,2,1,"1,5",3,1,2
98,08.05.2025,"4,16","3,66","3,46","8,34","8,75","8,02","19,7",37,2,1,"1,5",5,1,2
99,08.05.2025,"3,75","3,56","3,83","10,45","9,06","7,85","19,7",37,2,1,"1,5",10,1,2
100,08.05.2025,"3,67","3,42","3,21","7,5","7,33","7,45","19,7",37,2,1,"1,5",15,1,2
101,08.05.2025,"2,76","2,81","2,72","5,5","5,8","4,88","19,7",37,2,1,"1,5",20,1,2
102,08.05.2025,"2,66","2,71","2,83","4,82","4,18","4,36","19,7",37,2,1,"1,5",22,1,2
103,08.05.2025,"3,01","2,67","2,75","4,85","4,82","5,05","19,7",37,2,1,"1,5",25,1,2
104,08.05.2025,"2,7","2,72","2,82","4,02","4,77","4,91","19,7",37,2,1,"1,5",30,1,2
105,08.05.2025,"2,98","2,89","2,74",6,"6,47","6,57","19,7",37,2,1,"1,5",3,"0,7",2
106,08.05.2025,"2,97","2,55","2,92","6,43","6,44","6,91","19,7",37,2,1,"1,5",5,"0,7",2
107,08.05.2025,"2,56","2,53","2,56","3,97","4,86","5,17","19,7",37,2,1,"1,5",10,"0,7",2
108,08.05.2025,"2,7","2,53","2,37","7,27","7,16","4,59","19,7",37,2,1,"1,5",15,"0,7",2
109,08.05.2025,"2,73","2,86",3,"6,81","6,92","6,81","19,7",37,2,1,"1,5",20,"0,7",2
110,08.05.2025,"2,64","2,81","2,82","6,48","6,47","6,7","19,7",37,2,1,"1,5",22,"0,7",2
111,08.05.2025,"3,19","3,19","3,32","7,78","7,12","6,79","19,7",37,2,1,"1,5",25,"0,7",2
112,08.05.2025,"2,78","2,68","2,14","3,82","3,86","4,31","19,7",37,2,1,"1,5",30,"0,7",2
113,08.05.2025,"2,48","1,97",3,"4,3","3,66","4,19","19,7",37,2,1,"1,5",3,"0,4",2
114,08.05.2025,"2,72",3,"2,86","4,41","3,9","3,63","19,7",37,2,1,"1,5",5,"0,4",2
115,08.05.2025,"2,76","2,64","2,98","3,09","2,94","2,96","19,7",37,2,1,"1,5",10,"0,4",2
116,08.05.2025,"2,72","2,62","2,79","3,13","3,03","3,03","19,7",37,2,1,"1,5",15,"0,4",2
117,08.05.2025,"2,63","2,7","2,68","3,47","4,78","3,06","19,7",37,2,1,"1,5",20,"0,4",2
118,08.05.2025,"2,68","3,19","2,78","4,33","1,33","5,05","19,7",37,2,1,"1,5",22,"0,4",2
119,08.05.2025,"2,81","2,85","2,88","3,71","3,81","4,29","19,7",37,2,1,"1,5",25,"0,4",2
120,08.05.2025,"2,88","2,98","2,51","2,41","2,4","2,41","19,7",37,2,1,"1,5",30,"0,4",2
121,08.05.2025,"4,35","4,22","4,24","7,98","8,91","9,03","19,7",37,3,1,"1,5",3,1,2
122,08.05.2025,"4,51","4,34","4,44","9,04","9,04","9,05","19,7",37,3,1,"1,5",5,1,2
123,08.05.2025,"3,85","4,2","4,4","9,05","9,06","8,54","19,7",37,3,1,"1,5",10,1,2
124,08.05.2025,"3,98","4,17","4,19","8,57","8,72","8,84","19,7",37,3,1,"1,5",15,1,2
125,08.05.2025,"4,09","4,27","3,85","8,95","8,86","9,31","19,7",37,3,1,"1,5",20,1,2
126,08.05.2025,"4,35","4,47","4,03","8,08","8,83","9,3","19,7",37,3,1,"1,5",22,1,2
127,08.05.2025,"4,11","4,14","4,11","7,06","7,08","7,48","19,7",37,3,1,"1,5",25,1,2
128,08.05.2025,"3,97","4,12","4,14","5,7","5,7","5,75","19,7",37,3,1,"1,5",30,1,2
129,08.05.2025,"4,26","4,02","3,88","7,46","7,4","7,65","19,7",37,3,1,"1,5",3,"0,7",2
130,08.05.2025,"4,22",4,"3,86","7,27","7,13","7,22","19,7",37,3,1,"1,5",5,"0,7",2
131,08.05.2025,"4,04","4,08","3,98","6,61","5,75","6,29","19,7",37,3,1,"1,5",10,"0,7",2
132,08.05.2025,"4,09","4,01","3,97","6,79","5,84","6,47","19,7",37,3,1,"1,5",15,"0,7",2
133,08.05.2025,"4,19","4,04","3,91","6,59","5,38","6,1","19,7",37,3,1,"1,5",20,"0,7",2
134,08.05.2025,"4,1","4,12","3,75","5,81","5,87","5,97","19,7",37,3,1,"1,5",22,"0,7",2
135,08.05.2025,"3,88","3,93","3,88","5,96","5,27","5,28","19,7",37,3,1,"1,5",25,"0,7",2
136,08.05.2025,"3,73","3,93","3,9","5,34","5,3","5,34","19,7",37,3,1,"1,5",30,"0,7",2
137,08.05.2025,"3,9","3,7","3,63","4,76","3,98","4,27","19,7",37,3,1,"1,5",3,"0,4",2
138,08.05.2025,"3,71","3,69","3,88","4,55","4,62","4,53","19,7",37,3,1,"1,5",5,"0,4",2
139,08.05.2025,"3,88","3,67","3,87","4,52","4,53","4,31","19,7",37,3,1,"1,5",10,"0,4",2
140,08.05.2025,"3,91","3,87","3,96","4,14","4,38","4,23","19,7",37,3,1,"1,5",15,"0,4",2
141,08.05.2025,"3,71","3,78","3,72","3,92","3,55","3,53","19,7",37,3,1,"1,5",20,"0,4",2
142,08.05.2025,"3,75","3,75","3,71","3,48","2,65","2,65","19,7",37,3,1,"1,5",22,"0,4",2
143,08.05.2025,"3,6","3,65","3,75","3,35","3,07","3,34","19,7",37,3,1,"1,5",25,"0,4",2
144,08.05.2025,"3,5","4,19","4,19","3,35","3,32","2,57","19,7",37,3,1,"1,5",30,"0,4",2